sku,name,category,sub_category,description,price,cost,inventory_quantity,low_stock_threshold,status
FUR-TA-10001857,Balt Solid Wood Rectangular Table,Furniture,Tables,Tables - Balt Solid Wood Rectangular Table,18.82,38.48,58,10,active
FUR-FU-10001731,Acrylic Self-Standing Desk Frames,Furniture,Furnishings,Furnishings - Acrylic Self-Standing Desk Frames,0.32,0.0,122,10,active
FUR-FU-10001889,Ultra Door Pull Handle,Furniture,Furnishings,Furnishings - Ultra Door Pull Handle,1.64,0.0,140,10,active
FUR-TA-10003392,Global Adaptabilities Conference Tables,Furniture,Tables,Tables - Global Adaptabilities Conference Tables,63.22,37.93,170,10,active
FUR-TA-10003715,Hon 2111 Invitation Series Corner Table,Furniture,Tables,Tables - Hon 2111 Invitation Series Corner Table,43.62,65.95,34,10,active
FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,"Furnishings - Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",9.18,2.0,11,10,active
FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,Tables - Bush Advantage Collection Racetrack Conference Table,41.32,99.94,181,10,active
FUR-FU-10004963,"Eldon 400 Class Desk Accessories, Black Carbon",Furniture,Furnishings,"Furnishings - Eldon 400 Class Desk Accessories, Black Carbon",1.21,0.0,167,10,active
FUR-CH-10001270,Harbour Creations Steel Folding Chair,Furniture,Chairs,Chairs - Harbour Creations Steel Folding Chair,8.78,0.0,141,10,active
FUR-CH-10000988,Hon Olson Stacker Stools,Furniture,Chairs,Chairs - Hon Olson Stacker Stools,12.03,0.0,44,10,active
FUR-FU-10004587,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Furniture,Furnishings,"Furnishings - GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",3.63,3.42,77,10,active
FUR-FU-10004952,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",Furniture,Furnishings,"Furnishings - C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",9.9,8.09,128,10,active
FUR-TA-10002530,"Iceberg OfficeWorks 42"" Round Tables",Furniture,Tables,"Tables - Iceberg OfficeWorks 42"" Round Tables",16.46,29.54,133,10,active
FUR-FU-10003142,"Master Big Foot Doorstop, Beige",Furniture,Furnishings,"Furnishings - Master Big Foot Doorstop, Beige",0.84,0.0,177,10,active
FUR-CH-10003761,Global Italian Leather Office Chair,Furniture,Chairs,Chairs - Global Italian Leather Office Chair,60.58,35.04,42,10,active
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases,Bookcases - O'Sullivan Living Dimensions 5-Shelf Bookcases,27.15,63.14,98,10,active
FUR-TA-10002645,Hon Rectangular Conference Tables,Furniture,Tables,Tables - Hon Rectangular Conference Tables,43.52,58.31,55,10,active
